[     286ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/05w9_next_dist_04sc5oc._.js:2431
[     320ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/05w9_next_dist_04sc5oc._.js:2431
[    6012ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed:  @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[    7016ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[    8018ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[    9020ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   10022ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   11026ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   16034ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   21042ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   26057ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   31086ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   36124ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   41249ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
[   46563ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=FTopOllQGKaEiFgzleKy0' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/05w9_next_dist_client_0ppevk9._.js:13299
